service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2025SE-1BUSWK-Weekday-03,1,1,1,1,1,0,0,20251215,20251219
2025SE-1BUSWK-Weekday-03-0000100,0,0,0,0,1,0,0,20251215,20251219
2025SE-1BUSWK-Weekday-03-1111000,1,1,1,1,0,0,0,20251215,20251219
2025SE-1BUSSA-Saturday-03,0,0,0,0,0,1,0,20251220,20251220
2025SE-1BUSSU-Sunday-03,0,0,0,0,0,0,1,20251221,20251221
2025DE-1BUSCUT-Weekday-02,1,1,1,1,1,0,0,20251222,20260102
2025DE-1BUSCUT-Weekday-02-0000100,0,0,0,0,1,0,0,20251222,20260102
2025DE-1BUSSU-Sunday-02,0,0,0,0,0,0,1,20251225,20260315
2025DE-1BUSSA-Saturday-02,0,0,0,0,0,1,0,20251227,20260314
2025DE-pBxDec31-Weekday-02,1,1,1,1,1,0,0,20251231,20251231
2025DE-pBxDec31-Weekday-02-0000100,0,0,0,0,1,0,0,20251231,20251231
2025DE-1BUSWK-Weekday-02,1,1,1,1,1,0,0,20260105,20260313
2025DE-1BUSWK-Weekday-02-1111000,1,1,1,1,0,0,0,20260105,20260313
2025DE-1BUSWK-Weekday-02-0000100,0,0,0,0,1,0,0,20260105,20260313
2025SE-4LRTWK-Weekday-04,1,1,1,1,1,0,0,20251215,20251219
2025SE-4LRTSA-Saturday-04,0,0,0,0,0,1,0,20251220,20251220
2025SE-4LRTSU-Sunday-04,0,0,0,0,0,0,1,20251221,20251221
2025DE-xLRTWK-Weekday-90,1,1,1,1,1,0,0,20251222,20260306
2025DE-xLRTSU-Sunday-90,0,0,0,0,0,0,1,20251225,20260308
2025DE-xLRTSA-Saturday-90,0,0,0,0,0,1,0,20251227,20260307
2025DE-pTxDec31-Weekday-90,1,1,1,1,1,0,0,20251231,20251231
2025DE-1LRTWK-Weekday-00,1,1,1,1,1,0,0,20260309,20260313
2025DE-1LRTSA-Saturday-00,0,0,0,0,0,1,0,20260314,20260314
2025DE-1LRTSU-Sunday-00,0,0,0,0,0,0,1,20260315,20260315
