route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-20773,1,"Bowness/Forest Lawn",,3,,,
1-20776,1,"Bowness/Forest Lawn",,3,,,
2-20773,2,"Mount Pleasant/Killarney 17 Av SW",,3,,,
2-20776,2,"Mount Pleasant/Killarney 17 Av SW",,3,,,
3-20773,3,"Sandstone/Elbow Dr SW",,3,,,
3-20776,3,"Sandstone/Elbow Dr SW",,3,,,
4-20773,4,"Huntington",,3,,,
4-20776,4,"Huntington",,3,,,
5-20773,5,"North Haven",,3,,,
5-20776,5,"North Haven",,3,,,
6-20773,6,"Killarney/26 Av SW",,3,,,
6-20776,6,"Killarney/26 Av SW",,3,,,
7-20773,7,"Marda Loop",,3,,,
7-20776,7,"Marda Loop",,3,,,
8-20773,8,"North Pointe Terminal/Foothills Medical Centre",,3,,,
8-20776,8,"North Pointe Terminal/Foothills Medical Centre",,3,,,
9-20773,9,"Dalhousie Station/Chinook Station",,3,,,
9-20776,9,"Dalhousie Station/Chinook Station",,3,,,
10-20773,10,"City Hall/Southcentre",,3,,,
10-20776,10,"City Hall/Southcentre",,3,,,
11-20773,11,"Southwest Loop",,3,,,
11-20776,11,"Southwest Loop",,3,,,
12-20773,12,"Southwest Loop",,3,,,
12-20776,12,"Southwest Loop",,3,,,
13-20773,13,"Altadore",,3,,,
13-20776,13,"Altadore",,3,,,
14-20773,14,"Bridlewood/Cranston",,3,,,
14-20776,14,"Bridlewood/Cranston",,3,,,
15-20776,15,"Deerfoot Meadows",,3,,,
17-20773,17,"Renfrew/Ramsay",,3,,,
17-20776,17,"Renfrew/Ramsay",,3,,,
19-20773,19,"16 Avenue North",,3,,,
19-20776,19,"16 Avenue North",,3,,,
20-20773,20,"Heritage Station/Northmount Dr N",,3,,,
20-20776,20,"Heritage Station/Northmount Dr N",,3,,,
21-20773,21,"Castleridge",,3,,,
21-20776,21,"Castleridge",,3,,,
22-20773,22,"Richmond Rd SW",,3,,,
22-20776,22,"Richmond Rd SW",,3,,,
23-20773,23,"52 St E",,3,,,
23-20776,23,"52 St E",,3,,,
24-20773,24,"Ogden",,3,,,
24-20776,24,"Ogden",,3,,,
26-20773,26,"Sarcee Trail Crosstown",,3,,,
26-20776,26,"Sarcee Trail Crosstown",,3,,,
27-20773,27,"Willowglen",,3,,,
27-20776,27,"Willowglen",,3,,,
28-20773,28,"Deer Run",,3,,,
28-20776,28,"Deer Run",,3,,,
29-20773,29,"Queensland",,3,,,
29-20776,29,"Queensland",,3,,,
30-20773,30,"Highfield Industrial",,3,,,
32-20773,32,"Huntington/Sunridge",,3,,,
