route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
93-20776,2025DE-1BUSCUT-Weekday-02,72188233,"WESTBROOK STATION",0,6997589,930102
93-20776,2025DE-1BUSCUT-Weekday-02,72188234,"COACH HILL",1,6997589,930141
93-20776,2025DE-1BUSCUT-Weekday-02,72188235,"WESTBROOK STATION",0,6997589,930102
93-20776,2025DE-1BUSCUT-Weekday-02,72188236,"COACH HILL",1,6996896,930141
93-20776,2025DE-1BUSCUT-Weekday-02,72188237,"COACH HILL",1,6997310,930141
93-20776,2025DE-1BUSCUT-Weekday-02,72188238,"WESTBROOK STATION",0,6997310,930102
48-20776,2025DE-1BUSCUT-Weekday-02,72188239,"RUNDLE",1,6996996,480017
48-20776,2025DE-1BUSCUT-Weekday-02,72188240,"RUNDLE",1,6996996,480017
48-20776,2025DE-1BUSCUT-Weekday-02,72188241,"RUNDLE",1,6997266,480017
48-20776,2025DE-1BUSCUT-Weekday-02,72188242,"RUNDLE",1,6997266,480017
48-20776,2025DE-1BUSCUT-Weekday-02,72188243,"RUNDLE",1,6997266,480017
48-20776,2025DE-1BUSCUT-Weekday-02,72188244,"RUNDLE",1,6997266,480017
48-20776,2025DE-1BUSCUT-Weekday-02,72188245,"RUNDLE",1,6997266,480017
27-20776,2025DE-1BUSCUT-Weekday-02,72188246,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188247,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188248,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188249,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188250,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188251,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188252,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188253,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188254,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188255,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188256,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188257,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188258,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188259,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188260,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188261,"WILLOWGLEN",0,6997353,270016
27-20776,2025DE-1BUSCUT-Weekday-02,72188262,"WILLOWGLEN",0,6997353,270016
